Mthly_HH_Income,Mthly_HH_Expense,No_of_Fly_Members,Emi_or_Rent_Amt,Annual_HH_Income,Highest_Qualified_Member,No_of_Earning_Members
5000,8000,3,2000,64200,Under-Graduate,1
6000,7000,2,3000,79920,Illiterate,1
10000,4500,2,0,112800,Under-Graduate,1
10000,2000,1,0,97200,Illiterate,1
12500,12000,2,3000,147000,Graduate,1
14000,8000,2,0,196560,Graduate,1
15000,16000,3,35000,167400,Post-Graduate,1
18000,20000,5,8000,216000,Graduate,1
19000,9000,2,0,218880,Under-Graduate,1
20000,9000,4,0,220800,Under-Graduate,2
20000,18000,4,8000,278400,Under-Graduate,2
22000,25000,6,12000,279840,Illiterate,1
23400,5000,3,0,292032,Illiterate,1
24000,10500,6,0,316800,Graduate,2
24000,10000,4,0,244800,Graduate,2
25000,12300,3,0,246000,Graduate,1
25000,20000,3,3500,261000,Graduate,1
25000,10000,6,0,258000,Under-Graduate,3
29000,6600,2,2000,348000,Graduate,1
30000,13000,4,0,385200,Graduate,1
30500,25000,5,5000,351360,Under-Graduate,1
32000,15000,4,0,445440,Professional,1
34000,19000,6,0,330480,Professional,1
34000,25000,3,4000,469200,Professional,1
35000,12000,3,0,466200,Graduate,1
35000,25000,4,0,449400,Professional,2
39000,8000,4,0,556920,Under-Graduate,1
40000,10000,4,0,412800,Under-Graduate,1
42000,15000,4,0,488880,Graduate,1
43000,12000,4,0,619200,Graduate,1
45000,25000,6,0,523800,Graduate,3
45000,40000,6,3500,507600,Professional,2
45000,10000,2,1000,437400,Post-Graduate,1
45000,22000,4,2500,610200,Post-Graduate,1
46000,25000,5,3500,596160,Graduate,1
47000,15000,7,0,456840,Professional,4
50000,20000,4,0,570000,Professional,1
50500,20000,3,0,581760,Professional,2
55000,45000,6,12000,600600,Graduate,2
60000,10000,3,0,590400,Post-Graduate,1
60000,50000,6,10000,590400,Graduate,1
65000,20000,4,5000,647400,Illiterate,2
70000,9000,2,0,756000,Graduate,1
80000,20000,4,0,1075200,Graduate,1
85000,25000,5,0,1142400,Under-Graduate,2
90000,48000,7,0,885600,Post-Graduate,3
98000,25000,5,0,1152480,Professional,2
100000,30000,6,0,1404000,Graduate,3
100000,50000,4,20000,1032000,Professional,2
100000,40000,6,10000,1320000,Post-Graduate,1
102000,38000,5,15000,1230000,Professional,3
104000,45000,6,20000,1248000,Graduate,2
106000,42000,4,10000,1272000,Post-Graduate,1
108000,30000,3,5000,1296000,Graduate,1
110000,50000,5,20000,1320000,Professional,3
112000,35000,6,15000,1344000,Graduate,2
115000,25000,4,5000,1380000,Professional,1
118000,55000,6,20000,1416000,Graduate,3
120000,60000,5,30000,1440000,Post-Graduate,2
125000,70000,6,40000,1500000,Professional,3
130000,65000,4,25000,1560000,Graduate,2
135000,75000,5,35000,1620000,Professional,3
140000,80000,6,45000,1680000,Post-Graduate,2
145000,90000,4,50000,1740000,Graduate,3
150000,95000,5,60000,1800000,Professional,2
155000,100000,6,70000,1860000,Post-Graduate,3
160000,105000,4,75000,1920000,Graduate,2
165000,110000,5,85000,1980000,Professional,3
170000,115000,6,90000,2040000,Post-Graduate,2
175000,120000,4,95000,2100000,Graduate,3
180000,125000,5,100000,2160000,Professional,2
185000,130000,6,110000,2220000,Post-Graduate,3
190000,135000,4,115000,2280000,Graduate,2
195000,140000,5,120000,2340000,Professional,3
200000,145000,6,130000,2400000,Post-Graduate,2
205000,150000,4,135000,2460000,Graduate,3
210000,155000,5,140000,2520000,Professional,2
215000,160000,6,145000,2580000,Post-Graduate,3
220000,165000,4,150000,2640000,Graduate,2
225000,170000,5,155000,2700000,Professional,3
230000,175000,6,160000,2760000,Post-Graduate,2
235000,180000,4,165000,2820000,Graduate,3
240000,185000,5,170000,2880000,Professional,2
245000,190000,6,175000,2940000,Post-Graduate,3
250000,195000,4,180000,3000000,Graduate,2
255000,200000,5,185000,3060000,Professional,3
260000,205000,6,190000,3120000,Post-Graduate,2
265000,210000,4,195000,3180000,Graduate,3
270000,215000,5,200000,3240000,Professional,2
275000,220000,6,205000,3300000,Post-Graduate,3
280000,225000,4,210000,3360000,Graduate,2
285000,230000,5,215000,3420000,Professional,3
290000,235000,6,220000,3480000,Post-Graduate,2
295000,240000,4,225000,3540000,Graduate,3
300000,245000,5,230000,3600000,Professional,2
